year;week;weekseq;city;den.not;den;tw
2012;33;1;Alfenas (MG);2;2;0
2012;34;2;Alfenas (MG);2;3;2
2012;35;3;Alfenas (MG);1;0;0
2012;36;4;Alfenas (MG);0;1;0
2012;37;5;Alfenas (MG);4;3;0
2012;38;6;Alfenas (MG);3;3;0
2012;39;7;Alfenas (MG);0;1;0
2012;40;8;Alfenas (MG);2;2;0
2012;41;9;Alfenas (MG);1;0;0
2012;42;10;Alfenas (MG);0;2;0
2012;43;11;Alfenas (MG);2;0;0
2012;44;12;Alfenas (MG);1;1;1
2012;45;13;Alfenas (MG);1;1;0
2012;46;14;Alfenas (MG);0;0;0
2012;47;15;Alfenas (MG);1;3;0
2012;48;16;Alfenas (MG);5;6;0
2012;49;17;Alfenas (MG);3;0;0
2012;50;18;Alfenas (MG);1;2;0
2012;51;19;Alfenas (MG);4;5;0
2012;52;20;Alfenas (MG);2;0;0
2013;1;21;Alfenas (MG);3;6;0
2013;2;22;Alfenas (MG);4;3;0
2013;3;23;Alfenas (MG);1;3;0
2013;4;24;Alfenas (MG);5;4;0
2013;5;25;Alfenas (MG);4;5;0
2013;6;26;Alfenas (MG);6;3;1
2013;7;27;Alfenas (MG);2;6;0
2013;8;28;Alfenas (MG);7;14;1
2013;9;29;Alfenas (MG);11;11;0
2013;10;30;Alfenas (MG);12;9;0
2013;11;31;Alfenas (MG);20;23;1
2013;12;32;Alfenas (MG);16;19;0
2013;13;33;Alfenas (MG);17;27;0
2013;14;34;Alfenas (MG);38;43;0
2013;15;35;Alfenas (MG);44;45;0
2013;16;36;Alfenas (MG);59;49;0
2013;17;37;Alfenas (MG);35;26;0
2013;18;38;Alfenas (MG);22;16;0
2013;19;39;Alfenas (MG);9;13;0
2013;20;40;Alfenas (MG);13;6;2
2013;21;41;Alfenas (MG);11;10;0
2013;22;42;Alfenas (MG);3;4;0
2013;23;43;Alfenas (MG);3;3;0
2013;24;44;Alfenas (MG);4;1;0
2013;25;45;Alfenas (MG);0;6;0
2013;26;46;Alfenas (MG);10;5;0
2013;27;47;Alfenas (MG);5;4;0
2013;28;48;Alfenas (MG);0;0;1
2013;29;49;Alfenas (MG);2;3;2
2013;30;50;Alfenas (MG);2;1;0
2013;31;51;Alfenas (MG);0;0;0
2013;32;52;Alfenas (MG);0;0;0
2013;33;53;Alfenas (MG);0;0;0
2013;34;54;Alfenas (MG);2;2;0
2013;35;55;Alfenas (MG);0;0;0
2013;36;56;Alfenas (MG);0;0;0
2013;37;57;Alfenas (MG);2;2;0
2013;38;58;Alfenas (MG);0;0;1
2013;39;59;Alfenas (MG);1;1;0
2013;40;60;Alfenas (MG);0;0;1
2013;41;61;Alfenas (MG);0;0;0
2013;42;62;Alfenas (MG);0;0;0
2013;43;63;Alfenas (MG);0;0;0
2013;44;64;Alfenas (MG);0;1;0
2013;45;65;Alfenas (MG);1;0;0
2013;46;66;Alfenas (MG);0;2;0
2013;47;67;Alfenas (MG);3;2;0
2013;48;68;Alfenas (MG);1;0;0
2013;49;69;Alfenas (MG);1;3;0
2013;50;70;Alfenas (MG);2;2;0
2013;51;71;Alfenas (MG);2;0;0
2013;52;72;Alfenas (MG);2;2;0
2014;1;73;Alfenas (MG);1;3;0
2014;2;74;Alfenas (MG);2;2;0
2014;3;75;Alfenas (MG);3;1;1
2014;4;76;Alfenas (MG);3;4;0
2014;5;77;Alfenas (MG);4;3;0
2014;6;78;Alfenas (MG);3;3;0
2014;7;79;Alfenas (MG);1;3;0
2014;8;80;Alfenas (MG);5;5;0
2014;9;81;Alfenas (MG);2;2;0
2014;10;82;Alfenas (MG);4;4;0
2014;11;83;Alfenas (MG);3;8;0
2014;12;84;Alfenas (MG);9;11;0
2014;13;85;Alfenas (MG);12;12;1
2014;14;86;Alfenas (MG);10;27;0
2014;15;87;Alfenas (MG);37;23;0
2014;16;88;Alfenas (MG);23;30;0
2014;17;89;Alfenas (MG);38;54;2
2014;18;90;Alfenas (MG);54;51;2
2014;19;91;Alfenas (MG);52;46;0
2014;20;92;Alfenas (MG);29;30;1
2014;21;93;Alfenas (MG);35;31;0
2014;22;94;Alfenas (MG);29;27;1
2014;23;95;Alfenas (MG);32;23;3
2014;24;96;Alfenas (MG);15;11;1
2014;25;97;Alfenas (MG);12;8;1
2014;26;98;Alfenas (MG);6;7;2
2014;27;99;Alfenas (MG);8;5;1
2014;28;100;Alfenas (MG);2;3;1
2014;29;101;Alfenas (MG);4;1;0
2014;30;102;Alfenas (MG);1;1;1
2014;31;103;Alfenas (MG);0;2;0
2014;32;104;Alfenas (MG);2;1;1
2014;33;105;Alfenas (MG);2;2;0
2014;34;106;Alfenas (MG);2;4;0
2014;35;107;Alfenas (MG);7;8;0
2014;36;108;Alfenas (MG);7;4;1
2014;37;109;Alfenas (MG);3;5;0
2014;38;110;Alfenas (MG);3;2;4
2014;39;111;Alfenas (MG);3;3;4
2014;40;112;Alfenas (MG);3;4;2
2014;41;113;Alfenas (MG);5;4;5
2014;42;114;Alfenas (MG);2;1;1
2014;43;115;Alfenas (MG);1;4;2
2014;44;116;Alfenas (MG);6;3;1
2014;45;117;Alfenas (MG);2;1;2
2014;46;118;Alfenas (MG);0;2;0
2014;47;119;Alfenas (MG);3;2;4
2014;48;120;Alfenas (MG);1;0;0
2014;49;121;Alfenas (MG);0;0;1
2014;50;122;Alfenas (MG);0;2;1
2014;51;123;Alfenas (MG);3;3;0
2014;52;124;Alfenas (MG);1;0;0
2014;53;125;Alfenas (MG);3;2;2
2015;1;126;Alfenas (MG);2;3;0
2015;2;127;Alfenas (MG);1;0;1
2015;3;128;Alfenas (MG);0;2;1
2015;4;129;Alfenas (MG);7;13;1
2015;5;130;Alfenas (MG);10;15;4
2015;6;131;Alfenas (MG);16;27;3
2015;7;132;Alfenas (MG);29;42;2
2015;8;133;Alfenas (MG);51;51;3
2015;9;134;Alfenas (MG);81;113;1
2015;10;135;Alfenas (MG);109;111;7
2015;11;136;Alfenas (MG);105;95;3
2015;12;137;Alfenas (MG);111;111;4
2015;13;138;Alfenas (MG);135;190;4
2015;14;139;Alfenas (MG);207;223;5
2015;15;140;Alfenas (MG);235;272;6
2015;16;141;Alfenas (MG);312;308;4
2015;17;142;Alfenas (MG);299;305;5
2015;18;143;Alfenas (MG);323;265;4
2015;19;144;Alfenas (MG);213;210;6
2015;20;145;Alfenas (MG);203;155;17
2015;21;146;Alfenas (MG);127;96;7
2015;22;147;Alfenas (MG);73;70;6
2015;23;148;Alfenas (MG);45;50;1
2015;24;149;Alfenas (MG);63;46;1
2015;25;150;Alfenas (MG);24;17;3
2015;26;151;Alfenas (MG);17;10;2
2015;27;152;Alfenas (MG);7;5;0
2015;28;153;Alfenas (MG);1;4;0
2015;29;154;Alfenas (MG);6;6;0
2015;30;155;Alfenas (MG);4;4;2
2015;31;156;Alfenas (MG);3;3;1
2015;32;157;Alfenas (MG);4;3;0
2015;33;158;Alfenas (MG);3;2;0
2015;34;159;Alfenas (MG);0;2;0
2015;35;160;Alfenas (MG);2;1;0
2015;36;161;Alfenas (MG);1;1;1
2015;37;162;Alfenas (MG);2;3;1
2015;38;163;Alfenas (MG);3;4;0
2015;39;164;Alfenas (MG);4;3;0
2015;40;165;Alfenas (MG);3;2;0
2015;41;166;Alfenas (MG);4;5;1
2015;42;167;Alfenas (MG);3;6;1
2015;43;168;Alfenas (MG);8;4;0
2015;44;169;Alfenas (MG);4;5;0
2015;45;170;Alfenas (MG);6;6;0
2015;46;171;Alfenas (MG);6;4;0
2015;47;172;Alfenas (MG);4;8;1
2015;48;173;Alfenas (MG);15;22;5
2015;49;174;Alfenas (MG);23;17;3
2015;50;175;Alfenas (MG);24;33;1
2015;51;176;Alfenas (MG);31;22;1
2015;52;177;Alfenas (MG);6;0;3
2016;1;178;Alfenas (MG);;98;2
2016;2;179;Alfenas (MG);;174;5
2016;3;180;Alfenas (MG);;179;3
2016;4;181;Alfenas (MG);;229;4
2016;5;182;Alfenas (MG);;261;4
2016;6;183;Alfenas (MG);;348;13
2016;7;184;Alfenas (MG);;341;7
2016;8;185;Alfenas (MG);;291;15
2016;9;186;Alfenas (MG);;266;10
2016;10;187;Alfenas (MG);;201;6
2016;11;188;Alfenas (MG);;209;9
2016;12;189;Alfenas (MG);;162;9
2016;13;190;Alfenas (MG);;192;2
2016;14;191;Alfenas (MG);;204;0
2016;15;192;Alfenas (MG);;164;4
2016;16;193;Alfenas (MG);;164;0
2016;17;194;Alfenas (MG);;182;0
2016;18;195;Alfenas (MG);;111;0
2016;19;196;Alfenas (MG);;62;0
2016;20;197;Alfenas (MG);;67;0
2016;21;198;Alfenas (MG);;42;0
2016;22;199;Alfenas (MG);;22;0
2016;23;200;Alfenas (MG);;21;0
2016;24;201;Alfenas (MG);;16;0
2016;25;202;Alfenas (MG);;4;0
2016;26;203;Alfenas (MG);;3;0
2016;27;204;Alfenas (MG);;0;0
2016;28;205;Alfenas (MG);;1;0
2016;29;206;Alfenas (MG);;0;0
2016;30;207;Alfenas (MG);;0;0
2016;31;208;Alfenas (MG);;2;0
2016;32;209;Alfenas (MG);;1;0
2016;33;210;Alfenas (MG);;2;1
2016;34;211;Alfenas (MG);;0;0
2016;35;212;Alfenas (MG);;0;0
2016;36;213;Alfenas (MG);;2;0
2016;37;214;Alfenas (MG);;0;0
2016;38;214;Alfenas (MG);;4;0
2016;39;215;Alfenas (MG);;7;0
2016;40;216;Alfenas (MG);;2;0
2016;41;216;Alfenas (MG);;5;0
2016;42;217;Alfenas (MG);;6;0
2016;43;218;Alfenas (MG);;2;0
2016;44;219;Alfenas (MG);;0;0
2016;1;178;Alvorada (RS);;1;2
2016;2;179;Alvorada (RS);;0;1
2016;3;180;Alvorada (RS);;2;0
2016;4;181;Alvorada (RS);;0;1
2016;5;182;Alvorada (RS);;0;5
2016;6;183;Alvorada (RS);;0;4
2016;7;184;Alvorada (RS);;0;9
2016;8;185;Alvorada (RS);;0;0
2016;9;186;Alvorada (RS);;1;5
2016;10;187;Alvorada (RS);;3;3
2016;11;188;Alvorada (RS);;2;1
2016;12;189;Alvorada (RS);;7;3
2016;13;190;Alvorada (RS);;4;3
2016;14;191;Alvorada (RS);;6;3
2016;15;192;Alvorada (RS);;6;1
2016;16;193;Alvorada (RS);;18;1
2016;17;194;Alvorada (RS);;7;2
2016;18;195;Alvorada (RS);;6;2
2016;19;196;Alvorada (RS);;6;0
2016;20;197;Alvorada (RS);;8;0
2016;21;198;Alvorada (RS);;7;0
2016;22;199;Alvorada (RS);;1;0
2016;23;200;Alvorada (RS);;0;0
2016;24;201;Alvorada (RS);;0;1
2016;25;202;Alvorada (RS);;1;0
2016;26;203;Alvorada (RS);;0;0
2016;27;204;Alvorada (RS);;1;0
2016;28;205;Alvorada (RS);;1;0
2016;29;206;Alvorada (RS);;1;0
2016;30;207;Alvorada (RS);;0;2
2016;31;208;Alvorada (RS);;0;0
2016;32;209;Alvorada (RS);;2;1
2016;33;210;Alvorada (RS);;0;0
2016;34;211;Alvorada (RS);;0;0
2016;35;212;Alvorada (RS);;0;0
2016;36;213;Alvorada (RS);;0;0
2016;37;214;Alvorada (RS);;0;1
2016;38;214;Alvorada (RS);;0;0
2016;39;215;Alvorada (RS);;1;0
2016;40;216;Alvorada (RS);;0;0
2016;41;216;Alvorada (RS);;1;1
2016;42;217;Alvorada (RS);;1;0
2016;43;218;Alvorada (RS);;4;0
2016;44;219;Alvorada (RS);;1;0
2012;33;1;Americana (SP);8;4;0
2012;34;2;Americana (SP);3;3;0
2012;35;3;Americana (SP);4;2;0
2012;36;4;Americana (SP);2;2;0
2012;37;5;Americana (SP);3;3;1
2012;38;6;Americana (SP);2;7;0
2012;39;7;Americana (SP);7;1;3
2012;40;8;Americana (SP);1;5;0
2012;41;9;Americana (SP);2;1;1
2012;42;10;Americana (SP);4;4;0
2012;43;11;Americana (SP);6;7;3
2012;44;12;Americana (SP);7;8;5
2012;45;13;Americana (SP);3;6;1
2012;46;14;Americana (SP);5;2;3
2012;47;15;Americana (SP);7;5;1
2012;48;16;Americana (SP);5;4;1
2012;49;17;Americana (SP);4;2;0
2012;50;18;Americana (SP);4;4;0
2012;51;19;Americana (SP);2;2;0
2012;52;20;Americana (SP);1;0;1
2013;1;21;Americana (SP);1;4;1
2013;2;22;Americana (SP);3;9;1
2013;3;23;Americana (SP);7;4;1
2013;4;24;Americana (SP);11;10;1
2013;5;25;Americana (SP);4;10;1
2013;6;26;Americana (SP);11;7;1
2013;7;27;Americana (SP);9;21;1
2013;8;28;Americana (SP);17;19;0
2013;9;29;Americana (SP);19;25;2
2013;10;30;Americana (SP);21;41;1
2013;11;31;Americana (SP);41;67;5
2013;12;32;Americana (SP);66;77;7
2013;13;33;Americana (SP);60;78;7
2013;14;34;Americana (SP);98;112;9
2013;15;35;Americana (SP);117;127;6
2013;16;36;Americana (SP);123;117;4
2013;17;37;Americana (SP);113;95;14
2013;18;38;Americana (SP);85;78;15
2013;19;39;Americana (SP);70;74;3
2013;20;40;Americana (SP);105;83;5
2013;21;41;Americana (SP);79;50;4
2013;22;42;Americana (SP);50;57;2
2013;23;43;Americana (SP);51;25;3
2013;24;44;Americana (SP);26;23;2
2013;25;45;Americana (SP);31;16;3
2013;26;46;Americana (SP);14;17;2
2013;27;47;Americana (SP);16;10;0
2013;28;48;Americana (SP);11;11;0
2013;29;49;Americana (SP);8;7;1
2013;30;50;Americana (SP);4;4;1
2013;31;51;Americana (SP);3;4;0
2013;32;52;Americana (SP);10;9;1
2013;33;53;Americana (SP);2;6;0
2013;34;54;Americana (SP);10;10;0
2013;35;55;Americana (SP);12;7;0
2013;36;56;Americana (SP);5;3;1
2013;37;57;Americana (SP);11;13;2
2013;38;58;Americana (SP);10;16;1
2013;39;59;Americana (SP);9;6;0
2013;40;60;Americana (SP);7;4;1
2013;41;61;Americana (SP);6;4;0
2013;42;62;Americana (SP);4;5;0
2013;43;63;Americana (SP);3;8;0
2013;44;64;Americana (SP);9;14;0
2013;45;65;Americana (SP);8;12;0
2013;46;66;Americana (SP);19;15;0
2013;47;67;Americana (SP);23;19;0
2013;48;68;Americana (SP);18;23;1
2013;49;69;Americana (SP);12;10;0
2013;50;70;Americana (SP);15;14;1
2013;51;71;Americana (SP);23;19;0
2013;52;72;Americana (SP);17;8;0
2014;1;73;Americana (SP);4;14;0
2014;2;74;Americana (SP);12;43;1
2014;3;75;Americana (SP);32;41;0
2014;4;76;Americana (SP);45;70;0
2014;5;77;Americana (SP);82;114;2
2014;6;78;Americana (SP);118;192;2
2014;7;79;Americana (SP);257;433;0
2014;8;80;Americana (SP);540;579;9
2014;9;81;Americana (SP);550;480;16
2014;10;82;Americana (SP);452;398;8
2014;11;83;Americana (SP);439;441;8
2014;12;84;Americana (SP);498;553;10
2014;13;85;Americana (SP);543;640;15
2014;14;86;Americana (SP);639;661;13
2014;15;87;Americana (SP);770;848;21
2014;16;88;Americana (SP);679;786;24
2014;17;89;Americana (SP);879;843;13
2014;18;90;Americana (SP);711;675;20
2014;19;91;Americana (SP);592;473;18
2014;20;92;Americana (SP);555;428;5
2014;21;93;Americana (SP);390;194;5
2014;22;94;Americana (SP);171;121;69
2014;23;95;Americana (SP);121;95;5
2014;24;96;Americana (SP);57;46;4
2014;25;97;Americana (SP);43;45;6
2014;26;98;Americana (SP);49;29;2
2014;27;99;Americana (SP);27;21;0
2014;28;100;Americana (SP);12;13;1
2014;29;101;Americana (SP);13;10;0
2014;30;102;Americana (SP);5;6;2
2014;31;103;Americana (SP);8;7;2
2014;32;104;Americana (SP);6;3;0
2014;33;105;Americana (SP);3;7;2
2014;34;106;Americana (SP);5;8;0
2014;35;107;Americana (SP);6;5;0
2014;36;108;Americana (SP);0;4;0
2014;37;109;Americana (SP);15;11;0
2014;38;110;Americana (SP);6;8;1
2014;39;111;Americana (SP);6;6;2
2014;40;112;Americana (SP);13;14;0
2014;41;113;Americana (SP);4;8;4
2014;42;114;Americana (SP);15;10;1
2014;43;115;Americana (SP);5;4;1
2014;44;116;Americana (SP);15;8;2
2014;45;117;Americana (SP);0;9;0
2014;46;118;Americana (SP);6;7;1
2014;47;119;Americana (SP);8;6;0
2014;48;120;Americana (SP);12;2;0
2014;49;121;Americana (SP);2;3;1
2014;50;122;Americana (SP);2;3;0
2014;51;123;Americana (SP);4;1;0
2014;52;124;Americana (SP);1;1;0
2014;53;125;Americana (SP);1;1;0
2015;1;126;Americana (SP);1;14;0
2015;2;127;Americana (SP);7;21;1
2015;3;128;Americana (SP);21;24;0
2015;4;129;Americana (SP);32;52;1
2015;5;130;Americana (SP);59;106;1
2015;6;131;Americana (SP);57;98;2
2015;7;132;Americana (SP);136;122;5
2015;8;133;Americana (SP);149;178;1
2015;9;134;Americana (SP);285;397;7
2015;10;135;Americana (SP);380;484;1
2015;11;136;Americana (SP);509;609;11
2015;12;137;Americana (SP);637;764;11
2015;13;138;Americana (SP);603;594;6
2015;14;139;Americana (SP);720;694;17
2015;15;140;Americana (SP);805;729;24
2015;16;141;Americana (SP);706;679;21
2015;17;142;Americana (SP);701;670;9
2015;18;143;Americana (SP);531;459;16
2015;19;144;Americana (SP);484;356;7
2015;20;145;Americana (SP);311;261;9
2015;21;146;Americana (SP);193;156;4
2015;22;147;Americana (SP);149;120;2
2015;23;148;Americana (SP);114;62;3
2015;24;149;Americana (SP);69;55;3
2015;25;150;Americana (SP);40;27;3
2015;26;151;Americana (SP);32;15;1
2015;27;152;Americana (SP);16;15;1
2015;28;153;Americana (SP);8;11;0
2015;29;154;Americana (SP);22;11;0
2015;30;155;Americana (SP);9;16;3
2015;31;156;Americana (SP);14;6;0
2015;32;157;Americana (SP);7;2;0
2015;33;158;Americana (SP);1;1;2
2015;34;159;Americana (SP);0;0;1
2015;35;160;Americana (SP);1;4;1
2015;36;161;Americana (SP);2;1;1
2015;37;162;Americana (SP);1;2;2
2015;38;163;Americana (SP);3;2;2
2015;39;164;Americana (SP);1;3;2
2015;40;165;Americana (SP);4;6;2
2015;41;166;Americana (SP);5;3;0
2015;42;167;Americana (SP);2;2;2
2015;43;168;Americana (SP);2;2;0
2015;44;169;Americana (SP);4;8;0
2015;45;170;Americana (SP);6;1;1
2015;46;171;Americana (SP);2;1;3
2015;47;172;Americana (SP);3;6;1
2015;48;173;Americana (SP);10;9;5
2015;49;174;Americana (SP);15;21;3
2015;50;175;Americana (SP);11;2;3
2015;51;176;Americana (SP);1;0;0
2015;52;177;Americana (SP);0;0;5
2016;1;178;Americana (SP);;7;2
2016;2;179;Americana (SP);;4;3
2016;3;180;Americana (SP);;6;9
2016;4;181;Americana (SP);;12;3
2016;5;182;Americana (SP);;14;8
2016;6;183;Americana (SP);;9;2
2016;7;184;Americana (SP);;39;5
2016;8;185;Americana (SP);;48;4
2016;9;186;Americana (SP);;65;5
2016;10;187;Americana (SP);;91;3
2016;11;188;Americana (SP);;99;3
2016;12;189;Americana (SP);;95;6
2016;13;190;Americana (SP);;111;2
2016;14;191;Americana (SP);;115;6
2016;15;192;Americana (SP);;90;3
2016;16;193;Americana (SP);;68;1
2016;17;194;Americana (SP);;61;1
2016;18;195;Americana (SP);;55;1
2016;19;196;Americana (SP);;41;1
2016;20;197;Americana (SP);;22;0
2016;21;198;Americana (SP);;9;0
2016;22;199;Americana (SP);;12;1
2016;23;200;Americana (SP);;0;2
2016;24;201;Americana (SP);;4;0
2016;25;202;Americana (SP);;5;2
2016;26;203;Americana (SP);;2;0
2016;27;204;Americana (SP);;2;1
2016;28;205;Americana (SP);;2;1
2016;29;206;Americana (SP);;1;0
2016;30;207;Americana (SP);;0;1
2016;31;208;Americana (SP);;1;0
2016;32;209;Americana (SP);;0;2
2016;33;210;Americana (SP);;0;0
2016;34;211;Americana (SP);;0;0
2016;35;212;Americana (SP);;0;0
2016;36;213;Americana (SP);;1;0
2016;37;214;Americana (SP);;0;0
2016;38;214;Americana (SP);;0;0
2016;39;215;Americana (SP);;0;1
2016;40;216;Americana (SP);;0;0
2016;41;216;Americana (SP);;1;2
2016;42;217;Americana (SP);;0;0
2016;43;218;Americana (SP);;1;0
2016;44;219;Americana (SP);;1;1
2012;33;1;Amparo (SP);2;3;0
2012;34;2;Amparo (SP);1;0;0
2012;35;3;Amparo (SP);1;1;0
2012;36;4;Amparo (SP);2;4;1
2012;37;5;Amparo (SP);2;2;0
2012;38;6;Amparo (SP);4;1;0
2012;39;7;Amparo (SP);0;2;0
2012;40;8;Amparo (SP);2;1;0
2012;41;9;Amparo (SP);1;0;0
2012;42;10;Amparo (SP);0;1;0
2012;43;11;Amparo (SP);1;0;0
2012;44;12;Amparo (SP);1;1;0
2012;45;13;Amparo (SP);2;2;0
2012;46;14;Amparo (SP);0;0;0
2012;47;15;Amparo (SP);0;0;0
2012;48;16;Amparo (SP);0;1;0
2012;49;17;Amparo (SP);1;0;0
2012;50;18;Amparo (SP);1;1;0
2012;51;19;Amparo (SP);0;0;0
2012;52;20;Amparo (SP);0;0;0
2013;1;21;Amparo (SP);2;3;0
2013;2;22;Amparo (SP);3;4;0
2013;3;23;Amparo (SP);2;1;0
2013;4;24;Amparo (SP);1;2;0
2013;5;25;Amparo (SP);1;0;0
2013;6;26;Amparo (SP);2;3;0
2013;7;27;Amparo (SP);2;3;0
2013;8;28;Amparo (SP);2;2;0
2013;9;29;Amparo (SP);1;4;1
2013;10;30;Amparo (SP);7;2;0
2013;11;31;Amparo (SP);5;6;1
2013;12;32;Amparo (SP);3;1;0
2013;13;33;Amparo (SP);0;3;0
2013;14;34;Amparo (SP);5;4;0
2013;15;35;Amparo (SP);5;11;2
2013;16;36;Amparo (SP);13;9;0
2013;17;37;Amparo (SP);3;3;0
2013;18;38;Amparo (SP);6;8;2
2013;19;39;Amparo (SP);4;1;0
2013;20;40;Amparo (SP);5;6;0
2013;21;41;Amparo (SP);6;4;0
2013;22;42;Amparo (SP);4;2;1
2013;23;43;Amparo (SP);2;2;0
2013;24;44;Amparo (SP);1;4;0
2013;25;45;Amparo (SP);3;0;0
2013;26;46;Amparo (SP);0;1;0
2013;27;47;Amparo (SP);2;1;0
2013;28;48;Amparo (SP);0;0;0
2013;29;49;Amparo (SP);2;3;0
2013;30;50;Amparo (SP);2;2;0
2013;31;51;Amparo (SP);1;0;0
